GPSub_ID,GPSub,(R)Esub,TDist_0,TDist_1,Tdist_2or3,Tdist_>3,PPB_Score,Verified
GPSub_15,*NC3CN(*)C3,CSC*,292,0,7,11,-0.306 ,NO
GPSub_15,*NC3CN(*)C3,C=CC(=O)*,0,57,3,4,-0.267 ,NO
GPSub_15,*NC3CN(*)C3,*C(=O)NC2C(=O)N3C(=CCSC23)C(=O)O,54,0,0,0,-0.258 ,NO
GPSub_15,*NC3CN(*)C3,*Cc3ccccc3,0,5,63,11,-0.183 ,NO
GPSub_15,*NC3CN(*)C3,*NC(=O)Cc3ccccc3,34,0,0,3,-0.244 ,NO
GPSub_15,*NC3CN(*)C3,CC=C*,0,223,13,6,-0.279 ,NO
GPSub_15,*NC3CN(*)C3,*C(=O)NC1C(=O)N2C(=C(C)CSC12)C(=O)O,52,0,0,0,-0.246 ,NO
GPSub_15,*NC3CN(*)C3,CSCC(*)*,112,0,0,3,-0.344 ,NO
GPSub_15,*NC3CN(*)C3,*C1=C(C(=O)O)N2C(=O)C(NC(=O)C*)C2SC1,69,0,0,0,-0.259 ,NO
GPSub_22,*Nc1cccc(NC*)c1,*C3CC3,0,3,0,18,-0.063 ,NO
GPSub_22,*Nc1cccc(NC*)c1,*Nc2cc(NC3CC3)n3ncc(C#N)c3n2,18,0,0,0,-0.056 ,NO
GPSub_22,*Nc1cccc(NC*)c1,*Nc2cc(N*)n3ncc(C#N)c3n2,25,0,0,0,-0.064 ,NO
GPSub_7,*N(CCNC(C)C)*,*NCC(=O)N,425,68,73,384,-0.187 ,NO
GPSub_7,*N(CCNC(C)C)*,*CC(=O)N(C)*,293,0,102,230,-0.141 ,NO
GPSub_7,*N(CCNC(C)C)*,*CCCC(=O)*,231,76,46,299,-0.142 ,NO
GPSub_7,*N(CCNC(C)C)*,CC(NC(CC*)C(=O)O)C(=O)*,26,0,0,0,-0.194 ,NO
GPSub_7,*N(CCNC(C)C)*,CC(NC(C*)C(=O)O)*,32,0,0,0,-0.217 ,NO
GPSub_7,*N(CCNC(C)C)*,*C(CC*)C(=O)O,35,33,0,4,-0.166 ,NO
GPSub_7,*N(CCNC(C)C)*,*C(C*)C(=O)O,41,25,0,4,-0.189 ,NO
GPSub_7,*N(CCNC(C)C)*,*NC(CC*)C(=O)O,80,0,0,0,-0.180 ,NO
GPSub_7,*N(CCNC(C)C)*,*NC(C*)C(=O)O,94,0,0,0,-0.202 ,NO
GPSub_7,*N(CCNC(C)C)*,*NC(*)C(=O)O,82,2,0,2,-0.204 ,NO
GPSub_7,*N(CCNC(C)C)*,*CCCCC(=O)*,107,52,14,49,-0.226 ,NO
GPSub_7,*N(CCNC(C)C)*,*CCCCCC(=O)*,56,21,4,6,-0.176 ,NO
GPSub_7,*N(CCNC(C)C)*,*N1CCCC1C(=O)*,41,3,0,6,-0.204 ,NO
GPSub_7,*N(CCNC(C)C)*,*N1CCCC1*,54,0,3,6,-0.223 ,NO
GPSub_7,*N(CCNC(C)C)*,CC(=O)NC(C*)C(=O)*,244,67,45,231,-0.136 ,NO
GPSub_7,*N(CCNC(C)C)*,CC(=O)NC(*)C(=O)*,203,52,41,231,-0.130 ,NO
GPSub_7,*N(CCNC(C)C)*,CCCC(NC(=O)*)C(=O)*,194,24,49,209,-0.207 ,NO
GPSub_7,*N(CCNC(C)C)*,CCCC(NC(=O)*)*,249,4,79,219,-0.195 ,NO
GPSub_7,*N(CCNC(C)C)*,CCCC(N*)C(=O)*,346,95,0,491,-0.167 ,NO
GPSub_7,*N(CCNC(C)C)*,*NC(C)C(=O)N1CCCC1C(=O)*,39,8,0,0,-0.217 ,NO
GPSub_7,*N(CCNC(C)C)*,*NCC(=O)N3CCCC3*,52,6,2,0,-0.237 ,NO
GPSub_7,*N(CCNC(C)C)*,CC(NC(C*)*)C(=O)*,119,0,0,0,-0.157 ,NO
GPSub_7,*N(CCNC(C)C)*,CC(NC(CC*)C(=O)*)*,42,0,0,0,-0.142 ,NO
GPSub_7,*N(CCNC(C)C)*,*CCC(NC(=O)*)C(=O)*,223,32,49,224,-0.191 ,NO
GPSub_7,*N(CCNC(C)C)*,CCC(NC(*)C(=O)*)C(=O)*,39,0,0,0,-0.142 ,NO
GPSub_7,*N(CCNC(C)C)*,CCC(NC(*)*)C(=O)*,47,0,0,0,-0.157 ,NO
GPSub_7,*N(CCNC(C)C)*,CCC(NC(*)C(=O)*)*,64,0,0,0,-0.157 ,NO
GPSub_7,*N(CCNC(C)C)*,*NC(*)C(=O)NCC(=O)*,309,131,0,334,-0.098 ,NO
